,source, target,node,bipartite
573,u16,u4439,u16,users
574,u16,u1172,u16,users
575,u16,u627,u16,users
576,u16,u2161,u16,users
577,u16,u1449,u16,users
578,u16,u5564,u16,users
579,u17,u6949,u17,users
580,u17,u8093,u17,users
581,u17,u3219,u17,users
582,u17,u8523,u17,users
583,u17,u2285,u17,users
584,u17,u6565,u17,users
585,u17,u8175,u17,users
586,u17,u1080,u17,users
587,u17,u6245,u17,users
588,u17,u7302,u17,users
589,u17,u664,u17,users
590,u17,u10261,u17,users
591,u17,u9745,u17,users
592,u17,u7356,u17,users
593,u17,u8625,u17,users
594,u17,u1073,u17,users
595,u17,u719,u17,users
596,u17,u2806,u17,users
597,u17,u639,u17,users
598,u17,u3669,u17,users
599,u17,u8871,u17,users
600,u17,u3561,u17,users
601,u17,u6441,u17,users
602,u17,u8315,u17,users
603,u17,u724,u17,users
604,u17,u5331,u17,users
605,u17,u3777,u17,users
606,u17,u6739,u17,users
607,u17,u8057,u17,users
608,u17,u167,u17,users
609,u17,u201,u17,users
610,u17,u982,u17,users
611,u17,u4819,u17,users
612,u17,u3092,u17,users
613,u17,u5269,u17,users
614,u17,u5602,u17,users
615,u17,u5032,u17,users
616,u17,u9770,u17,users
617,u17,u6438,u17,users
618,u17,u7952,u17,users
619,u17,u5817,u17,users
620,u17,u5298,u17,users
621,u17,u7368,u17,users
622,u17,u397,u17,users
623,u17,u10503,u17,users
624,u17,u1695,u17,users
625,u17,u7473,u17,users
626,u17,u3248,u17,users
627,u17,u3346,u17,users
628,u17,u3683,u17,users
629,u17,u9437,u17,users
630,u17,u3355,u17,users
631,u17,u10404,u17,users
632,u17,u6980,u17,users
633,u17,u4296,u17,users
634,u17,u8643,u17,users
635,u17,u10000,u17,users
636,u17,u9096,u17,users
637,u17,u6158,u17,users
638,u17,u6726,u17,users
639,u17,u2925,u17,users
640,u17,u4606,u17,users
641,u17,u4754,u17,users
642,u17,u1011,u17,users
643,u17,u1351,u17,users
644,u17,u10537,u17,users
645,u17,u3428,u17,users
646,u17,u4951,u17,users
647,u17,u10559,u17,users
648,u17,u530,u17,users
649,u17,u1469,u17,users
650,u17,u4588,u17,users
651,u17,u5205,u17,users
652,u17,u1039,u17,users
653,u17,u1387,u17,users
654,u17,u1851,u17,users
655,u17,u8520,u17,users
656,u17,u5132,u17,users
657,u17,u7608,u17,users
658,u17,u2476,u17,users
659,u17,u4077,u17,users
